algo,x,mean,std,count
ga,0.0,0.7156978675540483,0.0034604865065147494,3
ga,40.0,0.7125935142601443,0.014585513077938924,3
ga,80.0,0.7922094837646609,0.0073688831739812605,3
ga,120.0,0.8342283452837068,0.007759459339392911,3
ga,160.0,0.8573538974885427,0.008243415227190458,3
ga,200.0,0.8723667394718216,0.0065308881215603905,3
ga,240.0,0.8833238005533021,0.0037501688388099008,3
ga,280.0,0.8908729499884983,0.0028389115322840037,3
ga,320.0,0.8957017643545271,0.0028287411461063714,3
ga,360.0,0.9005863542951983,0.003085978663511259,3
ga,400.0,0.9037901445182271,0.0011224375034839592,3
ga,440.0,0.9057480915433866,0.00035139721651925547,3
ga,480.0,0.9073131879860905,0.00043711629594506016,3
ga,520.0,0.9086545376515757,0.0006127263937425096,3
ga,560.0,0.9090145882950068,0.0006506528424547292,3
ga,600.0,0.9097595058508899,0.000990544383419545,3
ga,640.0,0.9102812615564003,0.0012945335056539194,3
ga,680.0,0.9108124935570224,0.0012357092247034485,3
ga,720.0,0.9109896914365031,0.0011933990758225266,3
ga,760.0,0.9113928147131988,0.0012846953709720864,3
ga,800.0,0.9115293404620163,0.0012656289173131059,3
ga,840.0,0.9116712516732809,0.0013126513786624603,3
ga,880.0,0.9117944263966389,0.0011648319063374997,3
ga,920.0,0.9119063085613387,0.001148946014239493,3
ga,960.0,0.9121900198328442,0.0009706344071074177,3
ga,1000.0,0.9122866348546851,0.0009622213237640007,3
ga,1040.0,0.9124095670919381,0.0009529940678156893,3
ga,1080.0,0.9126456348824531,0.0007983425093353819,3
ga,1120.0,0.9127260274329069,0.0007305248405175187,3
ga,1160.0,0.9128756828783144,0.000676379867297426,3
ga,1200.0,0.9129407519951572,0.000644714220175294,3
ga,1240.0,0.9130623086057227,0.0006438759119163989,3
ga,1280.0,0.9131037335589971,0.0006906451462311542,3
ga,1320.0,0.9131321371092244,0.0007057656004161364,3
ga,1360.0,0.9131733785096513,0.0007187992381210308,3
ga,1400.0,0.9131803794541353,0.0007096865963627326,3
ga,1440.0,0.9132680283256285,0.000711333317128716,3
ga,1480.0,0.9132844067282813,0.0007137078094592419,3
ga,1520.0,0.9133550894341665,0.0006771415212091694,3
ga,1560.0,0.9133781017078556,0.0006830976666920656,3
ga,1600.0,0.9134587042654566,0.0007066560464902877,3
ga,1640.0,0.9134587042654566,0.0007066560464902877,3
ga,1680.0,0.9134898551081934,0.0007231116232912948,3
ga,1720.0,0.9135310540491929,0.0007557536653141288,3
ga,1760.0,0.9135454175097205,0.0007634713951769107,3
ga,1800.0,0.9135454175097205,0.0007634713951769107,3
ga,1840.0,0.9135454175097205,0.0007634713951769107,3
ga,1880.0,0.9135454175097205,0.0007634713951769107,3
ga,1920.0,0.9135454175097205,0.0007634713951769107,3
ga,1960.0,0.9135454175097205,0.0007634713951769107,3
ga,2000.0,0.9135454175097205,0.0007634713951769107,3
ga,2040.0,0.9135931399485241,0.000799966418612858,3
ga,2080.0,0.9136368656496057,0.0008139482866804872,3
ga,2110.0,0.9124898587286114,0.0,1
ga,2114.0,0.9124898587286114,0.0,1
ga,2116.0,0.9124898587286114,0.0,1
ga,2118.0,0.9124898587286114,0.0,2
ga,2120.0,0.9142201397375957,7.418806758208163e-05,2
ga,2156.0,0.9142943278051778,0.0,1
ga,2158.0,0.9142943278051778,0.0,2
ga,2160.0,0.9141724313079471,0.0,1
ga,2200.0,0.9141724313079471,0.0,1
ga,2240.0,0.9141724313079471,0.0,1
ga,2256.0,0.9141724313079471,0.0,1
ga,2258.0,0.9141724313079471,0.0,1
ga,2260.0,0.9141724313079471,0.0,2
nsga2,0.0,0.7156978675540483,0.0034604865065147494,3
nsga2,40.0,0.7125935142601443,0.014585513077938924,3
nsga2,80.0,0.7922094837646609,0.0073688831739812605,3
nsga2,120.0,0.8342283452837068,0.007759459339392911,3
nsga2,160.0,0.8573538974885425,0.008243415227190458,3
nsga2,200.0,0.8723667394718216,0.0065308881215603905,3
nsga2,240.0,0.8833238005533021,0.0037501688388099008,3
nsga2,280.0,0.8908729499884983,0.0028389115322840037,3
nsga2,320.0,0.8957017643545271,0.0028287411461063714,3
nsga2,360.0,0.9005863542951983,0.003085978663511259,3
nsga2,400.0,0.9037901445182271,0.0011224375034839592,3
nsga2,440.0,0.9057480915433866,0.00035139721651925547,3
nsga2,480.0,0.9073131879860906,0.00043711629594506016,3
nsga2,520.0,0.9086545376515759,0.0006127263937425097,3
nsga2,560.0,0.9090145882950068,0.0006506528424547292,3
nsga2,600.0,0.9097595058508899,0.000990544383419545,3
nsga2,640.0,0.9102812615564001,0.0012945335056539194,3
