algo,x,mean,std,count
ga,0.0,0.8212936233541069,0.007845937280514444,3
ga,40.0,0.8544568613891578,0.004176920339701406,3
ga,80.0,0.8852806428761356,0.003181463919546543,3
ga,120.0,0.8980144085776031,0.0041693562432030306,3
ga,160.0,0.9030317192330267,0.006303340274814456,3
ga,200.0,0.9066177556522744,0.0034707984513104987,3
ga,240.0,0.9093158691345176,0.0014618722808762451,3
ga,280.0,0.9123913943123411,0.0013295337988017979,3
ga,320.0,0.913657412273393,0.0008855074158764031,3
ga,360.0,0.9147494955239456,0.0006587094554676107,3
ga,400.0,0.9150876806269151,0.00033061004694209535,3
ga,440.0,0.9153056023953986,0.0005924549559587923,3
ga,480.0,0.9155356252505346,0.0008565741360764336,3
ga,520.0,0.9156861235221028,0.0010626546115392447,3
ga,560.0,0.9156861235221028,0.0010626546115392447,3
ga,600.0,0.9159143375715151,0.0013606080355509486,3
ga,640.0,0.9161806424878326,0.0017301439311739,3
ga,680.0,0.9161834530124328,0.0017282681954756216,3
ga,720.0,0.9161834530124328,0.0017282681954756216,3
ga,760.0,0.916869661854378,0.002685130262315085,3
ga,800.0,0.9169253037758477,0.002749700070769744,3
ga,840.0,0.9169287871706144,0.002747315039251015,3
ga,880.0,0.9169321965563033,0.002744828464357061,3
ga,920.0,0.9169442272570478,0.0027364140346047175,3
ga,960.0,0.9169473772078017,0.0027341668885621623,3
ga,1000.0,0.9169473772078017,0.0027341668885621623,3
ga,1040.0,0.9169477581807907,0.0027339064464156084,3
ga,1080.0,0.9169477581807907,0.0027339064464156084,3
ga,1120.0,0.9169477581807907,0.0027339064464156084,3
ga,1160.0,0.9169477581807907,0.0027339064464156084,3
ga,1200.0,0.9169477581807907,0.0027339064464156084,3
ga,1240.0,0.9169817155521773,0.0027819207625578626,3
ga,1280.0,0.9169817155521773,0.0027819207625578626,3
ga,1320.0,0.9169817155521773,0.0027819207625578626,3
ga,1360.0,0.9169817155521773,0.0027819207625578626,3
ga,1400.0,0.9169817155521773,0.0027819207625578626,3
ga,1440.0,0.9169838233477279,0.002784901107974251,3
ga,1480.0,0.9169838233477279,0.002784901107974251,3
ga,1520.0,0.9170816414573736,0.002716078078069379,3
ga,1560.0,0.9171514810452016,0.0026659182487468007,3
ga,1600.0,0.9173011923720168,0.0025679096590553213,3
ga,1640.0,0.9173011923720168,0.0025679096590553213,3
ga,1680.0,0.9173239634561065,0.0025542110406007244,3
ga,1720.0,0.9173799605416596,0.0026330925847624287,3
ga,1760.0,0.9173799605416596,0.0026330925847624287,3
ga,1800.0,0.9173799605416596,0.0026330925847624287,3
ga,1840.0,0.9173799605416596,0.0026330925847624287,3
ga,1880.0,0.9173799605416596,0.0026330925847624287,3
ga,1920.0,0.9173799605416596,0.0026330925847624287,3
ga,1960.0,0.9173799605416596,0.0026330925847624287,3
ga,2000.0,0.9173799605416596,0.0026330925847624287,3
ga,2040.0,0.9174258364377423,0.0026939206506449292,3
ga,2080.0,0.9175193901028099,0.0026405878514252383,3
ga,2110.0,0.915244265478732,0.0,1
ga,2114.0,0.915244265478732,0.0,1
ga,2116.0,0.915244265478732,0.0,1
ga,2118.0,0.915244265478732,0.0,2
ga,2120.0,0.9186569524148489,0.0025645491339273963,2
ga,2156.0,0.9212215015487762,0.0,1
ga,2158.0,0.9212215015487762,0.0,2
ga,2160.0,0.9160924032809215,0.0,1
ga,2200.0,0.9160924032809215,0.0,1
ga,2240.0,0.9160924032809215,0.0,1
ga,2256.0,0.9160924032809215,0.0,1
ga,2258.0,0.9160924032809215,0.0,1
ga,2260.0,0.9160924032809215,0.0,2
nsga2,0.0,0.8212936233541069,0.007845937280514444,3
nsga2,40.0,0.8544568613891578,0.004176920339701406,3
nsga2,80.0,0.8852806428761356,0.003181463919546543,3
nsga2,120.0,0.8980144085776031,0.004169356243203031,3
nsga2,160.0,0.9030317192330268,0.006303340274814456,3
nsga2,200.0,0.9066177556522744,0.0034707984513104987,3
nsga2,240.0,0.9093158691345176,0.0014618722808762451,3
nsga2,280.0,0.9123913943123411,0.0013295337988017979,3
nsga2,320.0,0.913657412273393,0.0008855074158764031,3
nsga2,360.0,0.9147494955239458,0.0006587094554676107,3
nsga2,400.0,0.9150876806269154,0.00033061004694209535,3
nsga2,440.0,0.9153056023953986,0.0005924549559587923,3
nsga2,480.0,0.9155356252505346,0.0008565741360764336,3
nsga2,520.0,0.9156861235221028,0.0010626546115392447,3
nsga2,560.0,0.9156861235221028,0.0010626546115392447,3
nsga2,600.0,0.9159143375715151,0.0013606080355509486,3
nsga2,640.0,0.9161806424878328,0.0017301439311739,3
nsga2,680.0,0.9161834530124328,0.0017282681954756216,3
nsga2,720.0,0.9161834530124328,0.0017282681954756216,3
nsga2,760.0,0.9168696618543781,0.002685130262315085,3
nsga2,800.0,0.9169253037758477,0.002749700070769744,3
nsga2,840.0,0.9169287871706144,0.002747315039251015,3
nsga2,880.0,0.9169321965563033,0.002744828464357061,3
nsga2,920.0,0.9169442272570477,0.0027364140346047175,3
nsga2,960.0,0.9169473772078017,0.0027341668885621623,3
nsga2,1000.0,0.9169473772078017,0.0027341668885621623,3
nsga2,1040.0,0.9169477581807906,0.0027339064464156084,3
nsga2,1080.0,0.9169477581807906,0.0027339064464156084,3
nsga2,1120.0,0.9169477581807906,0.0027339064464156084,3
nsga2,1160.0,0.9169477581807906,0.0027339064464156084,3
nsga2,1200.0,0.9169477581807906,0.0027339064464156084,3
nsga2,1240.0,0.9169817155521773,0.0027819207625578626,3
nsga2,1280.0,0.9169817155521773,0.0027819207625578626,3
nsga2,1320.0,0.9169817155521773,0.0027819207625578626,3
nsga2,1360.0,0.9169817155521773,0.0027819207625578626,3
nsga2,1400.0,0.9169817155521773,0.0027819207625578626,3
nsga2,1440.0,0.9169838233477279,0.002784901107974251,3
nsga2,1480.0,0.9169838233477279,0.002784901107974251,3
nsga2,1520.0,0.9170816414573736,0.002716078078069379,3
nsga2,1560.0,0.9171514810452016,0.0026659182487468007,3
nsga2,1600.0,0.9173011923720168,0.002567909659055321,3
nsga2,1640.0,0.9173011923720168,0.002567909659055321,3
nsga2,1680.0,0.9173239634561065,0.0025542110406007244,3
nsga2,1720.0,0.9173799605416596,0.0026330925847624287,3
nsga2,1760.0,0.9173799605416596,0.0026330925847624287,3
nsga2,1800.0,0.9173799605416596,0.0026330925847624287,3
nsga2,1840.0,0.9173799605416596,0.0026330925847624287,3
