algo,x,mean,std,count
ga,0.0,0.8546748982828755,0.0004501876013271522,4
ga,40.0,0.8554562293297069,0.00026509066243162214,4
ga,80.0,0.855808334761311,0.00011737697018789467,4
ga,120.0,0.8559665408977208,0.00015968033475132254,4
ga,160.0,0.8560925837121931,0.00016281991605725962,4
ga,200.0,0.8561956403208506,0.00019565836032590602,4
ga,240.0,0.8563297379786499,0.0002458798489976246,4
ga,280.0,0.8564691298629514,0.0002612770657727171,4
ga,320.0,0.8566114102973211,0.0002848140367338372,4
ga,360.0,0.8567278913290102,0.0002879372883633731,4
ga,400.0,0.8568471911907849,0.00024839669122904515,4
ga,440.0,0.8569928231240689,0.00023508067021554057,4
ga,480.0,0.8571091310797696,0.00024164269568342957,4
ga,520.0,0.857248602677191,0.00025433191599625986,4
ga,560.0,0.8574002971540615,0.00026910083570430343,4
ga,600.0,0.8575614446851785,0.000302224498322686,4
ga,640.0,0.8577246790385362,0.00031010821246028035,4
ga,680.0,0.8578859153512801,0.00035422641334630984,4
ga,720.0,0.8579938660663284,0.00034384311388518365,4
ga,760.0,0.8581262256211214,0.00038500881744004474,4
ga,800.0,0.8582740859087639,0.0004196210066376526,4
ga,840.0,0.858436126319144,0.00045162832500935854,4
ga,880.0,0.8585766996054152,0.0004857122540064812,4
ga,920.0,0.8587071118360473,0.0005014191538222667,4
ga,960.0,0.8588194986941433,0.0005136369353318414,4
ga,1000.0,0.8589463506782519,0.0005099828938308365,4
ga,1040.0,0.8590876449957081,0.0005244320083679177,4
ga,1080.0,0.8592281401469551,0.0005422969660723361,4
ga,1120.0,0.8593428973003421,0.0005274093877126323,4
ga,1160.0,0.8595061513570117,0.0005788269326321556,4
ga,1200.0,0.8596693322305313,0.000649246545230123,4
ga,1240.0,0.8597654881808323,0.0006285867292061835,4
ga,1280.0,0.8598694625618726,0.0006150160033572461,4
ga,1320.0,0.8599678734964302,0.000590022314069893,4
ga,1360.0,0.8600772184990539,0.0005800889028712437,4
ga,1400.0,0.8601923569673207,0.0005782728936220108,4
ga,1440.0,0.8602867539930795,0.00056158898659502,4
ga,1480.0,0.8603852043637927,0.0005368336670246136,4
ga,1520.0,0.8605060581221899,0.0005234047990751406,4
ga,1560.0,0.8606152131455667,0.0005087344667835137,4
ga,1600.0,0.8607177580662829,0.0005273420438036124,4
ga,1640.0,0.8608301290254954,0.0005310479985645986,4
ga,1680.0,0.8609424456163237,0.0005247907841113305,4
ga,1720.0,0.8610334190740268,0.0005484484174142112,4
ga,1760.0,0.8611516178537558,0.0005527484230416291,4
ga,1800.0,0.8612645711767328,0.0005281039338667386,4
ga,1840.0,0.8613999289831121,0.0005330753909143484,4
ga,1880.0,0.8615197106261112,0.0005717089538962962,4
ga,1920.0,0.8616576501867299,0.0005677575382490677,4
ga,1960.0,0.8617888700836287,0.0005525566629626714,4
ga,1962.0,0.861825956454633,0.0006074334866573309,6
ga,1964.0,0.8617644125533992,0.0,2
nsga2,0.0,0.8546748982828754,0.00045018760132715225,4
nsga2,40.0,0.8554069117777163,0.00022626083121266211,4
nsga2,80.0,0.8557146421929028,0.00011583751056260998,4
nsga2,120.0,0.8558291201482051,0.00011906784752266365,4
nsga2,160.0,0.8560078600003423,8.745717103162728e-05,4
nsga2,200.0,0.8561326162163756,8.515566374503161e-05,4
nsga2,240.0,0.8562667044115304,0.0001222181476985874,4
nsga2,280.0,0.8564094896807436,0.0001598194641522293,4
nsga2,320.0,0.8565239110777959,0.0001794455040505583,4
nsga2,360.0,0.8566387068815611,0.00016777967078340385,4
nsga2,400.0,0.8567406503826335,0.00014699702242675794,4
nsga2,440.0,0.856848174662374,0.00015763521130885617,4
nsga2,480.0,0.8569843997133781,0.00017936654861481414,4
nsga2,520.0,0.8570767578820228,0.00016552720772721464,4
nsga2,560.0,0.857159895003597,0.00014560588300314184,4
nsga2,600.0,0.8572616712493057,0.00014345115931278002,4
nsga2,640.0,0.8573416635552237,0.0001580053859054206,4
nsga2,680.0,0.8574245350843791,0.0001541215246632469,4
nsga2,720.0,0.8575160342899814,0.00015529881196701183,4
nsga2,760.0,0.857623217897755,0.00014141293149991994,4
nsga2,800.0,0.8577324227920138,0.0001366164703753382,4
nsga2,840.0,0.8578449683567861,0.00016744180003347236,4
nsga2,880.0,0.8579523792075789,0.00015979401565391802,4
nsga2,920.0,0.858064506739786,0.0001615664011427376,4
